Robinson PLC;Falkland Islands (Malvinas);Michael Rivera;2.4;2006
Smith-Richards;Belize;Penny Farrell;1.8;2013
Castaneda, Harmon and Rogers;Dominican Republic;Destiny Tucker;4.0;1978
Conrad Ltd;Grenada;Joseph Boyd;4.6;2007
Thomas Ltd;United Arab Emirates;Christopher Mclaughlin;4.5;1971
Rowe, Edwards and Burns;Burkina Faso;Pamela Frank;8.7;1972
Park-Washington;Norfolk Island;Tamara Daniels;2.4;2000
Alexander, White and Solomon;Guam;Heather Moore;8.2;2007
Scott-Burke;India;Lawrence Taylor;9.3;1973
Alvarado-Clarke;Iraq;Jesus Phelps;5.2;1980
Mathis-Lambert;Colombia;Timothy Patrick;9.7;1993
Lynch Inc;Zambia;Lisa Watson;5.5;2014
Williams Inc;Western Sahara;April Adams;9.8;2016
Hopkins, Johnson and Mcdonald;Ethiopia;Chelsea Smith;8.1;2000
Perez, Martinez and Dillon;Mauritius;Joseph Lowery;3.5;2006
Lewis, Sexton and Gallagher;United States of America;Nicole Wallace;3.2;1977
Acosta, Blake and Stevens;India;Virginia Bryant;8.8;1982
Ruiz, Gallagher and Brown;Papua New Guinea;Lisa Perez;7.0;2010
Harrison and Sons;Sierra Leone;Karen Dickerson;8.6;1991
Farley Group;Togo;Shirley Heath;3.8;2022
Gregory, Rodriguez and Walsh;Kyrgyz Republic;Daniel Berry;1.6;2000
Perry-Davis;Bahrain;Sarah Goodman;9.8;1982
Ashley and Sons;Montenegro;Dillon Freeman;2.5;2004
Brown, Fields and Lawrence;Netherlands;Julia Miller;2.4;2012
Adams-Douglas;Cayman Islands;Austin Medina MD;1.4;1991
Wright, Ramos and Wright;French Guiana;Kristin Mitchell;6.1;2011
Carrillo, Mclaughlin and Miller;Cameroon;John Santiago;1.5;1993
Warren Ltd;Slovakia (Slovak Republic);Benjamin Villegas;8.9;1980
Gonzalez, Williams and Woods;Korea;Pamela Mccoy;4.5;1999
Griffith-Stone;Djibouti;Michael Gates;9.2;2020
Goodwin and Sons;Cuba;James Nash;4.7;1993
Brown-Bryan;Grenada;Tonya Spencer;7.7;2004
Johnson, Freeman and Johnson;Bermuda;David Underwood;2.6;2009
Cooper, Jones and Hendrix;Liechtenstein;Misty Bailey;1.4;1980
Ramirez, Williams and Kelly;Belgium;Sara Fields;2.1;1991
Harmon Inc;Hong Kong;Daniel Rose;4.4;2021
Torres-Brown;Bhutan;Yvette Hamilton;9.2;2003
Guerra, Ellis and Santos;Heard Island and McDonald Islands;Danny Long;2.4;2005
Leonard, Soto and Nguyen;Turkey;Jade Marsh MD;4.1;2012
Williams PLC;Pitcairn Islands;Gregory Aguilar;2.4;2019
Moore, Mata and Trujillo;Western Sahara;Karen Bailey;3.2;1979
Miller-Obrien;Burundi;Ashley Torres;7.6;1997
Shaffer, Benjamin and Stone;Suriname;James Hatfield;8.4;1992
Johnson Ltd;Saint Pierre and Miquelon;Roberto Wilcox;8.7;2008
Romero, Mills and Solis;Comoros;Cody Richardson;3.2;1971
Powell, Black and Mullins;Dominican Republic;Kimberly Buckley;9.4;2013
Taylor, Barrett and Hood;Northern Mariana Islands;Vincent Walker;7.6;1981
Morrison Group;Poland;Todd Fletcher;4.8;1997
Gonzalez, Diaz and Hernandez;New Caledonia;David Sanchez;3.9;1977
Lee Inc;Turkmenistan;Cody Newton;1.6;1995
Davidson-Compton;United Kingdom;Julie Graves;7.0;2004
Anderson-Davis;Bahamas;Carol Griffith;6.8;2019
Simpson, Harris and Howard;Anguilla;Michael Munoz;5.7;2000
Sellers-Williams;Botswana;Kelli Luna;5.6;1972
Thompson, Stone and Mckee;Palau;John Young;3.9;1983
Brown and Sons;Uganda;Robert Thomas;3.7;1971
Rose-Ferguson;Malta;Caleb Dixon;7.3;1995
Evans Group;Guinea;James Price;2.4;1995
Gray Inc;Uruguay;Todd Thomas;7.9;1978
Underwood Inc;Saint Barthelemy;Suzanne Jackson;9.0;2017
Frank-Wilson;Saint Barthelemy;Jesse Strickland;3.5;1995
Hopkins, Guzman and Garcia;Cameroon;Mario Martinez;3.9;2010
Ramirez-Harris;Puerto Rico;Deborah Olson;7.9;2013
Baker-Torres;Seychelles;Cynthia Logan;9.1;1988
Smith-Miller;Christmas Island;Robert Allen;1.1;1992
Montoya Inc;Kazakhstan;David Bush;2.0;2015
Phillips, Kaufman and Gonzales;Angola;Nathan Hudson;1.3;1999
Jackson-Robbins;Macedonia;Destiny Bonilla;4.1;1976
Green-Maddox;Mauritania;Kelly Hines;6.3;1984
Jones, Henry and Kennedy;Nicaragua;Sharon Diaz;3.7;1994
Carroll-Schroeder;Saint Barthelemy;Steven Morris;6.1;2003
Blackwell-Palmer;Eritrea;Joseph Lyons;2.0;2018
Zimmerman-Cannon;Finland;Evan Smith;7.3;1994
Harris Group;Lebanon;Alexandra Vasquez;9.1;2017
Walsh Inc;Sweden;Ashley Mckee;7.6;2016
Mckee LLC;Tokelau;Amy Farrell;2.7;2000
Gillespie-Hill;Guatemala;James Patel;7.1;2002
Huerta, Mendez and Torres;Zambia;Jenna Burke;1.3;1991
Padilla LLC;Bermuda;Matthew Owens;7.1;2014
Snyder, Ramos and Smith;Netherlands Antilles;Jason Tucker;6.3;1982
Woodward-Simpson;Lebanon;Melody Henry;7.9;2015
Trevino, Mendez and Bailey;Zambia;Andrea Adams;9.4;2018
Mcclure LLC;Central African Republic;Eric Rodriguez;5.8;1987
Webster, Kane and Sheppard;Bahrain;Jasmine Watson;3.1;1974
Bowen LLC;Angola;Edward Williamson;6.7;1989
Small, Nguyen and Martinez;Serbia;Cheryl Mercado;4.4;1996
Love, Keller and Bradford;Sri Lanka;Jose Morris;4.4;2008
Simmons, Jackson and Walker;Cyprus;Christine Davis;3.4;2008
Rosario, Rivera and Anderson;Portugal;James Wiley;9.5;1988
Ward Inc;Bolivia;Todd Allen;7.0;2022
Delgado PLC;Romania;Kim Schwartz;7.7;2011
Mueller Ltd;Austria;Rachael Dyer;5.4;2015
King and Sons;Antigua and Barbuda;Kyle Taylor;2.3;1994
Morris-Hancock;Mongolia;Timothy Gray;6.7;1987
Hogan-Mcintosh;Timor-Leste;Robert Jackson;5.8;1992
Taylor PLC;Niue;David Pineda;7.4;1989
Tyler-Wiggins;Nicaragua;James Myers;6.3;2021
Larsen-Macdonald;Central African Republic;Carolyn Roach;6.6;2006
Sosa, Andrade and Matthews;Tanzania;Billy Bonilla;2.3;2011
Murphy-Bartlett;United Kingdom;Stefanie Smith;3.9;2022
Anderson-Zamora;Tokelau;Justin Diaz;1.5;1979
Snyder and Sons;Papua New Guinea;Theresa Tran DDS;6.8;1990
Ellison, Jordan and Williams;Togo;Elijah Travis;8.8;2008
Meyer, Andrews and James;Bangladesh;Karen Villanueva;4.1;1985
Nelson, Moore and Roth;Guinea-Bissau;Marcus Hopkins;9.9;1991
Thompson-Price;China;Kristen Brown;6.4;1973
Scott-Shepherd;Swaziland;Brittany James;8.9;2017
Walsh and Sons;Belarus;Marie Perez;5.8;1984
Mcdonald, Stuart and Thompson;Madagascar;Hannah Knight;6.1;2005
Kennedy Group;Thailand;Marcus Jones;4.9;2001
Hughes Ltd;Singapore;Dr. Arthur Mayer;3.1;2013
Kim-Reyes;Lebanon;Matthew Small;2.8;1983
James, Kline and Brown;Kyrgyz Republic;Debra Garcia;8.9;1996
Sanchez-Adams;Cameroon;Andrew Case;7.7;2022
Oliver, Caldwell and Marshall;New Caledonia;Keith Best;9.4;2010
Trevino, Williams and Miller;Saudi Arabia;Jerry Ryan;4.0;2017
Sharp-Shaw;Grenada;Christopher Miller;8.2;2007
Hernandez, Reynolds and Patton;Saint Lucia;Wesley White;7.7;2021
Thomas, Stevens and Snyder;Martinique;Dr. Kathryn Oconnor;1.9;1980
Carlson-White;Saint Helena;Emily Griffin;2.0;2000
Gonzalez Group;French Southern Territories;Gina Irwin;2.8;2007
Hanson-Gonzalez;Lebanon;Joann Shaffer;5.9;1985
Gray and Sons;Saint Vincent and the Grenadines;Sara Lloyd;10.0;1993
Briggs LLC;Brazil;Dawn Austin;2.4;2009
Baker Ltd;Guinea;Gina Lee;8.4;1971
Williams, Johnson and Grant;Eritrea;Helen Wade;3.9;2007
White and Sons;American Samoa;Travis Mcdonald;6.7;1996
Martin-Roberts;Samoa;Lisa Gutierrez;9.8;1980
Foster, Rogers and Russell;Costa Rica;Stacey Norman;3.1;1996
Hawkins Inc;American Samoa;Amy Rojas;7.2;1992
Stewart-Frank;Cameroon;Erica Martinez;5.2;1990
Smith, Jones and Barnes;Falkland Islands (Malvinas);Sandra Adams;5.4;2005
Henry, Hansen and Cox;Cuba;Rachel Jennings;2.9;1994
Ellison-White;Solomon Islands;Jacqueline Gallegos;6.6;1995
Ashley-Ramos;Greenland;Christina White;3.4;1991
Mcmillan, Pena and Wiggins;Turkmenistan;Amanda Castro;7.7;1995
Hudson Inc;Cocos (Keeling) Islands;Stephanie Shannon;3.5;1978
Torres PLC;Somalia;Eric Pruitt;8.9;2019
Johnson, Sanchez and Silva;Antigua and Barbuda;Cynthia Shaw;8.1;2005
Clark and Sons;Lesotho;Pam Bennett;6.3;1973
Hill, Johnson and Brooks;Micronesia;Felicia Wood;6.2;2001
Jones and Sons;Mauritania;Matthew Johnson;1.3;1984
Massey LLC;Sri Lanka;Laura Williamson;4.6;1976
Martin Ltd;Denmark;Glenda Cooper;7.9;1979
May Inc;Bermuda;Brian Jackson;7.1;2016
Weaver, Gentry and Bradford;Barbados;Rebecca Guerra MD;9.3;1986
Smith, Montgomery and Lee;Uganda;Andrew Gonzalez;3.5;1991
Melton Group;Lesotho;Kathy Wheeler;7.9;1976
Martinez LLC;Brunei Darussalam;Raven Dunn;8.1;1992
Higgins-Hess;Pitcairn Islands;James Scott;6.6;1972
Hess, Oneill and Gonzalez;Pakistan;Jennifer Thompson;8.5;2021
Kerr-Walker;Togo;Mitchell Peterson;9.4;2022
Davis-Pena;Rwanda;Crystal Duarte;3.7;2015
Wilson-Simmons;Heard Island and McDonald Islands;Patricia Valdez;7.6;2000
Salazar, Bush and Jenkins;Kiribati;Robert Walker;5.3;2021
Farley and Sons;Malta;Dennis Clark;8.7;2012
Novak-Sanford;Tuvalu;Willie Rose;4.1;2009
Anderson PLC;Yemen;Jeff Hall;3.3;1978
Prince, Frey and Smith;Mauritius;Judith Juarez;8.1;2006
Murillo, Adkins and Hernandez;Austria;Kurt Cole;8.4;2008
Smith-Gillespie;Palestinian Territory;Charles Bernard;6.7;1974
Gomez Ltd;Georgia;Brooke Wilkins;7.9;1972
Miller PLC;Honduras;Linda Wright;1.9;2021
Jackson, Hernandez and Munoz;South Georgia and the South Sandwich Islands;Michelle Stone;6.6;1971
Foster, Blake and Rivera;Svalbard & Jan Mayen Islands;Mark Sandoval;2.3;1997
Taylor-Stephens;Benin;Samuel Mann;9.4;2020
Braun Group;Czech Republic;Jennifer Lawson;3.7;2009
Avery and Sons;Sierra Leone;Destiny May;6.9;2001
Boone, Lambert and Garner;Chile;Kelly Pitts;1.8;2000
French, Rodriguez and Roberts;Svalbard & Jan Mayen Islands;Dakota Boyd;8.4;1981
Soto Group;Iran;Taylor Sanders;9.5;2008
Nelson, Shields and Contreras;Oman;Erin Morris;4.8;2006
Stephens, Goodman and Davis;Tunisia;William Mclaughlin;6.1;2014
Stephens Ltd;Fiji;Diamond Smith;2.7;1984
Nixon, Sutton and Allen;Qatar;Chelsea Young;6.5;2015
Harris, Cook and Flynn;Sierra Leone;David Nichols;7.2;2006
Wilson, Hanson and Beck;Wallis and Futuna;Lauren Perez;5.5;1998
Forbes Group;Antarctica (the territory South of 60 deg S);Victoria Tran;2.0;2008
Wagner Group;United States of America;Teresa Smith;2.0;1971
Turner, Hernandez and Lozano;Angola;Rachel Brown;5.2;1991
Campbell Ltd;Pitcairn Islands;April Moore;2.6;2005
Burgess-Larsen;Greenland;Joshua Johnston;8.7;1988
Lang-Williams;Lao People's Democratic Republic;Jasmine Torres;3.0;1992
Thomas-Savage;Aruba;Gregory Raymond;8.0;1993
Watkins, Bennett and Sanders;Yemen;Joseph Donaldson;9.6;1996
Jordan, Logan and Holland;Iran;Eric Miller;9.7;2005
Schwartz Ltd;Martinique;Timothy Williams;5.0;2017
Johnson and Sons;Marshall Islands;Anthony Good;4.1;2017
Gill Ltd;Tuvalu;Alexandra Armstrong;2.6;1998
Jennings and Sons;Northern Mariana Islands;Mrs. Marissa Lane;3.0;1983
Perkins-Smith;Oman;Sarah Vincent;1.9;1973
Ramirez, Vega and Gonzalez;Spain;Robert Parker;4.9;1980
Reed-Gomez;Niger;Marvin Schwartz;2.9;1979
Jones, Cooley and Gonzalez;Guatemala;Jason Brown;2.6;1978
Richardson-Gardner;Samoa;Amanda Lee;3.3;1996
Rogers-Tran;El Salvador;Jason Lang;5.1;2010
Williams, West and Schroeder;Marshall Islands;Drew Ross;9.2;2011
Kelly, Livingston and Escobar;Tonga;Stephanie Lewis;4.3;1994
Gonzales, Wallace and Stewart;Central African Republic;Sara Sullivan;7.3;1978
Zimmerman, Boyd and Mccarty;Barbados;John Anderson;9.8;2009
Sweeney PLC;Zambia;Bianca Stark;5.3;2005
Reese PLC;Bolivia;William Johnston;6.1;1971
Campbell, Buchanan and Wells;Israel;Mary Romero;8.4;2010
Schneider Inc;Uganda;Renee Washington;4.8;2001
Morales-Hicks;Falkland Islands (Malvinas);Karen Case;2.6;1996
Jackson-Stokes;Gambia;Dawn Rodriguez;2.4;1977
Carter, Wilson and Vaughn;Faroe Islands;Renee Sanchez;7.7;1977
Kemp, Baker and Mendez;Brazil;Robert Barnes;9.1;1976
Campbell-Lewis;French Guiana;Nathan Johnson;2.4;1982
Martin, Douglas and Gomez;Cape Verde;Tamara Warner;7.5;1970
Johnson Group;Korea;Rachel Smith;4.7;1993
Jones LLC;Thailand;Jennifer Turner;8.7;1980
Harris-Murphy;United Kingdom;Bobby Barnes;2.5;2003
Mills-Blackwell;Micronesia;James Stokes;6.8;1988
Burns, King and Hall;Kuwait;Matthew Richard;7.9;2009
Patel PLC;United Arab Emirates;Alex Henson;1.5;1996
Quinn, George and Smith;China;Patricia Davidson;9.1;1979
Stokes-Doyle;Iraq;Mr. Jerry Ortega MD;1.1;2007
Riggs-Wright;Iraq;Tara Hunter;9.3;1984
Pollard Group;Kyrgyz Republic;Betty Walker;7.7;1996
Bates-Lee;Sao Tome and Principe;Aaron Calhoun;1.0;2016
Anderson, Carter and Nichols;Taiwan;Brandon Lopez MD;7.5;2018
Tyler-Brown;Guadeloupe;Corey Carpenter;8.5;2006
Williams, Harrington and Reyes;South Georgia and the South Sandwich Islands;Melissa Saunders;3.8;2003
Parrish-Day;Korea;Katherine Hill;6.6;1974
Anderson, Johnson and Johnson;Gibraltar;Michael Walker;9.1;2019
Golden LLC;Sao Tome and Principe;Katherine Nunez;2.3;1984
Manning and Sons;Zambia;Robert Wagner;1.0;1977
Burns-Graham;Malaysia;Steven Robertson;4.3;2011
Mitchell PLC;Saint Vincent and the Grenadines;Jorge Wright;4.3;1977
Jimenez-Martin;Benin;Alexander Potter;5.4;2017
Price Inc;Belize;Steven Williams;5.3;2014
Benjamin, Nichols and Brennan;New Zealand;Krista Jones;5.9;2005
Hammond-Cochran;Norfolk Island;Stephanie Jones;6.4;2007
Benson-Bradshaw;United Kingdom;Erin Sanchez;4.3;2018
Boyle, Wilson and Hunter;Malaysia;Joshua Fisher;4.4;2011
Frank-Sanders;Cook Islands;Heather Davis;6.8;1985
Allen LLC;New Caledonia;Stacy Richardson;4.7;2018
Young, Castillo and Garrett;Saint Kitts and Nevis;Dr. Kimberly Graham DDS;9.7;1984
Stone-Luna;Western Sahara;Jeremy Francis;9.5;2015
Santiago Ltd;Macedonia;Robert Cortez;5.2;2012
Richards-Noble;Turks and Caicos Islands;Jose Proctor;6.2;2013
Murphy, Smith and Phillips;Lesotho;David Moses;9.2;2021
Vargas Group;Gambia;Eric Chung;3.0;2007
Jones, Weaver and Aguilar;Aruba;Jamie Ross;6.4;2010
Grimes LLC;Brunei Darussalam;Austin Jones;1.9;1974
Morgan-Jensen;Georgia;Samantha Campos;7.4;1978
Cooper Ltd;Cook Islands;Heather Fitzgerald;4.4;1997
Morton-Pearson;Western Sahara;Richard Thompson PhD;1.9;1982
Schroeder-Pierce;Martinique;Amanda Mitchell;8.6;2017
Jordan-Johns;Croatia;Abigail Robinson;5.1;2004
Morales Inc;Equatorial Guinea;William Keller;7.8;2019
Walters-Mendoza;Niue;Sierra Casey;5.3;2007
Armstrong Inc;Pakistan;Roger Silva;5.1;2015
Mooney, Johnson and Nicholson;Guinea-Bissau;Michael Pennington;5.9;1972
Sims, Henry and Wang;Svalbard & Jan Mayen Islands;Bryan Cain;4.7;2001
Rodriguez-Davidson;New Caledonia;Russell Miranda;3.8;2000
Arias, Byrd and Beard;Lebanon;Judith Cordova;4.8;1977
Fernandez-Richards;Poland;James Rowe;6.4;2005
Cox Inc;Malawi;Seth Wong;1.8;1974
Alexander-Bowman;Venezuela;William White;5.7;1985
Odom-Mcdaniel;Suriname;Jimmy Cuevas;9.9;2017
Hebert-Jones;Honduras;Jacob Morgan;7.4;1989
Hill, Barber and Parker;Lao People's Democratic Republic;Jennifer Turner;7.7;1993
Davis PLC;Croatia;Mr. Nicholas Bartlett MD;7.2;2014
Williams-Sullivan;Bangladesh;Tyrone King;3.2;2011
James, Fitzpatrick and Stewart;Saint Lucia;Morgan Cunningham;1.6;2006
Ramsey, Weber and Hernandez;Tonga;Whitney Howard;6.1;1990
Anderson, Morris and Romero;Namibia;Dawn Lee;2.3;1975
Thomas Group;Botswana;Jeremy Long;4.3;1999
James, Johnson and Lynch;Dominican Republic;Jeremy Taylor;9.9;2013
Mendez-Blackburn;Costa Rica;Matthew Obrien;1.7;1998
Hughes PLC;Malawi;Jeffrey Moore;1.2;2004
Bryant, Ortiz and Hall;Ireland;Mckenzie Olson;8.6;1979
Adams Ltd;Tonga;Margaret Dawson;5.6;2005
Lucas, Rowe and Booker;American Samoa;Courtney Brown;5.3;1985
Smith Inc;Samoa;Peter West;5.0;1973
Contreras-Ruiz;Sri Lanka;Stephanie Robinson;1.5;2016
Reynolds-Quinn;Congo;Brandi Johns;7.7;1978
Medina-Rasmussen;Gambia;Julie Mcguire;5.8;1998
Mann, Moore and Herrera;Suriname;Kevin Rubio;6.2;1992
Carter PLC;Liechtenstein;Alejandro Jackson;2.6;1994
Fisher Inc;Iceland;Joseph Chambers;9.6;2014
Sharp, Brooks and Merritt;Libyan Arab Jamahiriya;Lori Sharp;1.9;2007
White, Baker and Brooks;Indonesia;Nicole Hull;1.5;1980
Johnson PLC;Reunion;Barry Crosby;7.4;1996
Anderson-Grimes;Saint Lucia;Elizabeth Owens;6.4;1973
Hamilton-Johnson;Myanmar;Lisa Walker;1.1;2006
Burns Ltd;Western Sahara;Joseph King;1.5;2013
Reyes Ltd;South Africa;Yolanda Estrada;6.8;2006
Williamson-Smith;Costa Rica;Roger Lewis;3.8;1984
Sanchez, Lopez and Hall;Mayotte;Logan Guerrero Jr.;2.8;2014
Carpenter, Stuart and Webster;Germany;Juan Clayton;3.9;2002
Moore, Reynolds and Harrison;Anguilla;Cody Cooper;1.7;2008
Cox-Cowan;Isle of Man;Kimberly Turner;5.8;1999
Sheppard-Tucker;Nepal;Melissa Potter;2.5;1973
Silva LLC;Vietnam;Mathew Hunt;1.9;1993
Jones Ltd;Uganda;Mikayla Carroll;2.6;1990
Miller and Sons;Mozambique;Jose Phillips;4.0;1980
Daniels Group;Barbados;Samuel Brooks;9.2;1981
Steele-Bender;Ethiopia;Tammy Jackson;8.5;2006
Quinn-Dean;Trinidad and Tobago;Corey Turner;9.1;1979
Hernandez, Potts and Turner;El Salvador;Anthony Freeman;9.6;2010
Brooks PLC;Poland;Stephanie Walker;5.4;2007
Peters Group;Monaco;Carol Hernandez;7.7;1973
Harrington Group;Syrian Arab Republic;Alicia Dillon;5.5;2008
Jimenez LLC;Cook Islands;Mary Osborne;6.7;1982
Shaw-Howell;Grenada;Michael Davis;4.8;2019
Hill-Watkins;Japan;Melissa Grimes;9.0;2014
Santiago-Daniels;Guadeloupe;Terry Wilson;4.3;1985
Jones, Fleming and Boyd;Monaco;Madison Santana;1.6;2005
Rodriguez-Hawkins;Myanmar;Nancy Miller;7.3;2016
Wilson, Coleman and Tran;Colombia;Joseph Mitchell;3.8;1990
Green Inc;Niue;Jacqueline Werner;9.0;2016
Delacruz PLC;Liberia;Mr. Parker Fuentes;5.1;2003
Logan Inc;Pitcairn Islands;Diane Fuller;8.9;2009
Robinson, Edwards and Howell;Egypt;Christina Perry;5.6;2016
Lee-Beck;Peru;Billy Mata;6.2;2007
Wilkinson PLC;Jamaica;Pamela Jordan;4.1;1991
Rice Inc;Nigeria;Dr. Emily Moore;8.0;1995
Brown, Rollins and Hayes;Bahrain;Karen Odonnell;4.2;2013
Combs LLC;Croatia;Sheila Reyes;5.2;2012
Rice, Wolfe and Barnes;Syrian Arab Republic;Andrea Rivera;8.4;2004
Fernandez, Carter and Cardenas;Austria;Jordan Marshall;1.7;2022
Parker-Williams;Slovenia;Jose Garner;9.3;1975
Singh-Anderson;Argentina;Richard Butler;8.1;1983
Johnson-Bond;Holy See (Vatican City State);Jorge Nicholson;6.2;1971
Ingram-Fernandez;Malaysia;Susan Hernandez;7.4;1980
Ochoa-Tucker;United Kingdom;Deborah Aguirre;1.4;1984
Lang Ltd;Azerbaijan;Richard Dean;9.5;1972
Williams-Boyle;France;Deborah Robles;7.4;2016
Christian, Robinson and Thomas;Georgia;Jennifer Buck;2.9;2003
Blanchard-Lyons;Yemen;John Harrison;8.8;2022
Garcia, Henry and Jones;Kuwait;Donald Ochoa;5.7;1974
Davis, Chen and Allen;Macedonia;Richard Robinson;4.5;1972
Johnson-Gardner;Slovakia (Slovak Republic);Lisa Taylor;3.5;1988
Miranda Ltd;Nepal;Paul Glenn;8.5;2013
Mills Inc;San Marino;Todd Turner;8.8;1979
Hurley-Baker;French Southern Territories;Erin Joseph;7.2;2019
Keller Ltd;Saudi Arabia;Jamie Brown;2.4;2019
Clark PLC;Jamaica;Pamela Garcia;5.0;2009
Riddle-Jordan;Tokelau;Heidi Weaver;3.2;1995
Lopez Inc;Bangladesh;Ryan Walsh;3.4;1979
Perry, Davis and Murphy;Bahrain;Cassie Schwartz;7.5;1991
Parker and Sons;Kazakhstan;Tracey Valentine;2.8;1971
Adams-Doyle;Mali;Katherine Weaver;8.7;1983
Torres, Nelson and Reed;Switzerland;Arthur Marquez;5.6;2013
Adams-Villarreal;Gibraltar;Ashley Howard;1.4;1973
Moran-Gordon;Italy;Pamela Suarez;4.5;2022
Griffith Ltd;Belarus;Sonya Prince;4.0;1999
Kerr-Tanner;Bahamas;Walter Marks;3.2;2007
Martinez Ltd;Bahamas;Kevin Burch;2.4;2013
Maxwell-Hansen;Slovakia (Slovak Republic);Jordan Campbell;9.4;2020
Cooper LLC;Luxembourg;Ashley Jones;5.4;2020
Oconnell and Sons;El Salvador;Natasha Gutierrez;1.0;2011
Harris, Ortiz and Brown;Costa Rica;Lee Page;7.7;1980
Taylor-Wilson;Russian Federation;Angela Abbott DVM;1.4;1996
Lopez, Cunningham and Gallagher;Singapore;Matthew Dawson;8.5;1978
Davis, Brown and Collier;Georgia;Patrick Johnson;9.9;1991
Henry-Quinn;Ghana;Tim Griffin;8.4;2020
Ballard, Hinton and Diaz;Turkmenistan;Terry Larson;5.8;2012
Mathews, Hernandez and Green;Saint Vincent and the Grenadines;Ricardo Gonzalez;3.1;1981
Palmer-Franklin;Vietnam;Nicholas Ruiz;3.8;2020
Gonzalez-Howard;Holy See (Vatican City State);Kristopher Schultz;1.3;2004
Duffy-Wise;Isle of Man;Ronald Salazar;5.4;2013
Swanson Ltd;French Polynesia;William Williams;3.3;1996
Roberts Ltd;Palau;Rebecca Rodriguez;2.8;1973
Paul and Sons;Timor-Leste;Cindy Turner;9.5;1998
Fowler-Burns;China;Christian Sloan;3.5;1990
Robinson-Kim;Cyprus;Debbie Jones;4.9;2004
Cabrera-Stone;Pakistan;Susan Jones;6.8;1976
Jackson, Watkins and Anderson;Botswana;Grant Hamilton;7.4;1982
Kelly, West and White;Andorra;Jordan Thomas;6.5;1998
